CODE|DESCRIPTION|FLAGS|PRODUCT_EANS|SUBFAMILY_CODES
404848130002|COLORATION||0075724062665,0075724232679,0075724232761,0075724232785,0309970210502,0309970210533,0309970210540,0309970210557,0309970210588,0309970210601,0309970210625,0309970210632,0309970210656,0309970210670,0309970210694,0309977326046,0309978695103,0309978695301,0309978695417,0309978695516,0309978695547,0309978695608,3054080001669,3054080002048,3054080002055,3054080002178,3054080002468,3054080002604,3054080002826,3054080004349,3054080004455,3054080005056,3054080005315,3054080005353,3054080005407,3054080005582,3054080006992,3054080008552,3054080008606,3054080018797,3054080059936,3054080059943,3054080076384,3054080076391,3140100075977,3140100076035,3140100161656,3140100201048,3140100201079,3140100201086,3140100201116,3140100283563,3140100323047,3140100349856,3140100363999,3140100416039,3140100416046,3140100416053,3140100416060,3140100416077,3140100416084,3140100605433,3140100605440,3140100605457,3140100605464,3140100605471,3140100605495,3140100605501,3140100605518,3140100605525,3140102040027,3140102040034,3140102040041,3140102040096,3140102040157,3140102040218,3140102040249,3140102040294,3140102051009,3178040208148,3178040290341,3178040380233,3178040395329,3178040472419,3178040567122,3178040567207,3178040567245,3178040567283,3178040567320,3178040567368,3178040643802,3178040643819,3178040643826,3178040643833,3178040645776,3178040646452,3178040663329,3178040678811,3178040678842,3178040678859,3178040678866,3178040678873,3178040678880,3178040678903,3178040683822,3178040695832,3178041304900,3178041310642,3178041310987,3178041313650,3178041314282,3178041318488,3178041322546,3178041322553,3178041322560,3178041322577,3178041328067,3178041352734,3178041353540,3178041356053,3178041358484,3178041358521,3178041358545,3178041358569,3178041358606,3178041358620,3178041358644,3178041358668,3178041358682,3178041358705,3178041358729,3178041359597,3178041359627,3178041366601,3178041366847,3178041366861,3178041366885,3178041366922,3178041366946,3178041366960,3178041366984,3178041367004,3178041367028,3178041367042,3178041367066,3178041367967,3178041367981,3178041370233,3178041370332,3178041370592,3178041370615,3178041370653,3178041370677,3178041370691,3178041370752,3178041370776,3178041370790,3215665480013,3215665480853,3215666450015,3215666470013,3215666540938,3215666550029,3215666550036,3215666550043,3215666550050,3215666550067,3215666550142,3215666550166,3215666550203,3215666550210,3215666550227,3215666550234,3215666550241,3215666550487,3215666550630,3215666550807,3215666550838,3250391373062,3250391373093,3250391373123,3250391373154,3250391373185,3250391373215,3250391373246,3250391373277,3250391373307,3286010076120,3286010076137,3600520966717,3600520977720,3600520977737,3600520977744,3600520977751,3600520977768,3600520977775,3600520978635,3600520978642,3600521038512,3600521188064,3600521367209,3600521604793,3600521617731,3600522269960,3600523018420,3600523193288,3600523193295,3600523193301,3600523193318,3600523193325,3600523337613,3600523337620,3600523372836,3600523388073,3600523388097,3600523999118,3600523999125,3600523999149,3600523999163,3600523999170,3600523999187,3600524079598,3600524079604,3600524128845,3600524128852,3600524194765,3600524194772,3600524198442,3600524198459,3600524199074,3600524199081,3600524213312,3600540726728,3600541232426,3600541232525,3600541232624,3600541232679,3600541232778,3600541232877,3600541232921,3600541232976,3600541233027,3600541233072,3600541233126,3600541233171,3600541233270,3600541233324,3600541337138,3600541339101,3600541352377,3600541524392,3600541593701,3600541910799,3600541919297,3600542307017,3600542518505,3600542518529,3600542518536,3600542518543,3600542518550,3600542518567,3600542518611,3600542518628,3600542518635,3600542576642,3600542576659,3600542576666,3600542576680,3600542576710,3600542576758,3600542591485,3600542591492,3600542621281,3600542630481,3600542655927,3600542655934,3600542660242,3600542660259,3666986024255,3666986024460,3666986050995,3666986052005,3666986052036,3701603717193,3701603726263,4015000217040,4015000217095,5029066053879,5029066053886,5051389104815,5057566628099,8411126076244,8411126076268,8411126076275|
404848130003|PRODUITS COIFFANTS ET LAQUES||0075724006355,0075724006362,0075724071285,0075724214040,0075724244382,0075724245662,0075724251991,0075724252004,0075724252028,0075724428003,0075724428010,0075724428034,0075724428072,0075724428126,0075724473188,0810006944495,0810006944617,0810006944624,0810006944655,0817513010002,0817513010033,0817513010040,0817513010125,0817513015311,0817513015328,0817513015342,0817513015434,0817513015441,0817513015656,0817513015700,0817513016769,0817513016776,0817513016783,0817513016905,0817513019890,0817513019913,0856017000126,3054080020028,3054080020035,3058320032024,3058320032031,3058320041033,3058320041040,3058325059705,3058325059804,3178040622128,3178041306218,3178041308243,3178041351348,3178041365758,3178041365772,3178041365796,3178041365819,3178041366649,3178041366663,3178041366748,3178041366823,3178041369589,3178041369602,3250390593225,3250390593232,3250390598602,3250390857624,3250391217588,3250391217670,3250391620531,3250391955183,3250392024277,3250393473838,3327520002725,3327520004347,3327520004361,3327520004408,3327520004507,3327520006037,3327520006068,3327520006075,3327520009502,3410280041520,3600520913094,3600523177677,3600524078348,3600524100704,3600524100711,3600524100728,3600524100735,3600524100759,3600524100766,3600524100780,3600524100797,3600524100803,3600524100810,3600524100827,3600524100834,3600524100865,3600524100872,3600524100889,3600524118433,3600524118440,3600524163624,3600524252700,3600542556668,3600542570282,3600542570305,3600550029246,3600550036626,3600550036633,3600550098228,3600550201659,3600550634037,3600550634044,3600550634051,3600551183176,3600551183183,3600551183190,3600551183206,3600551188379,3600551188386,3600551188393,3600551188409,3600551189987,3600551194653,3600551194721,3666986025184,3760207119659,5012583210900,5033871000034,5033871000041,5033871000065,5033871000096,5410091642037,5410091642075,5410091740405|
404848140001|COTON A DEMAQUILLER||2823804000000,3133200037242,3133200065603,3133200065665,3133200074346,3228061018506,3250391812769,3250392882310,3250392882334,3250392882358,3250392882372,3250392886981,3250393000638,3250393113260,3250393445217,3250393462146,3250393462153,3410280079899,3700390861942,7322540783650,7322540809213,7322540809848,7322540809879,7322542493250|
404848140002|COTON PRE DECOUPE||3410280142203|
404848140003|COTON TIGE||3250390109068,3250391812738,3250393113284,3410280009988,7322541086507,7322541087061,7322541482941,7322542492383|
404848140004|COTON BEBE||3250390753537,3250391054886,3250391205318,3250392594862,3250392879389,3250392946401,3250392946432,3286010085870,3286010088031,3410280142210,3701719400200|
404848160002|PRODUITS SOLAIRES||0000042429111,0000042429128,0000042494867,0000042495222,3045206799652,3045206799805,3058326101038,3058326101120,3058326105104,3058326105197,3468080008359,3468080008366,3468080008397,3468080008403,3468080009028,3468080009042,3468080009264,3468080009288,3468080009295,3468080009318,3468080009332,3468080009349,3468080009592,3468080009615,3468080009721,3468080009752,3468080009769,3468080009813,3468080009820,3468080009837,3468080411906,3468080412897,3506772001100,3506772001117,3506772001124,3506772001131,3506772001179,3506772001193,3506772001209,3506772002107,3506772002121,3506772002138,3506772003104,3506778005898,3600541426023,3600541426078,3600542298407,3600542446143,3600542453516,3600542453769,3600542512886,3600542513005,3600542518352,3600542520263,3600542520294,3600542520454,3600542522861,3600542572644,3600542576291,3600542576307,3600542578585,3600542656733,3600542658089,3600542665629,3600551125190,3600551125268,3600551125275,3600551125282,3600551125312,3600551143231,3600551143248,3666986057505,3666986060048,3666986060130,3666986060161,3666986060208,3666986060260,3666986060321,3760207114135,4005900363602,4005900363633,4005900363756,4005900363848,4005900458681,4005900458711,4005900460240,4005900465641,4005900465689,4005900597243,4005900597489,4005900597519,4005900691521,4005900717191,4005900720092,4005900998996,4006000062891,4006000063362,4006000105635,4006000142258,4006000143712,4006000219721,4006000220376,4006000230856,4006000236698,4006000236735,4006000260853,4006000270630,4006000270722,4006000270777,4006000270807,4006000270814,5099821001070,5099821001230,5099821002039,5099821128739,9005800341866|
404848160003|PRODUITS DE BEAUTE||0000040063690,0000040066110,0000040066295,0000042207528,0000042269861,0000042316565,0000042389859,0000042390091,0000042420118,0000042428831,0000042438724,0000042438731,0000042438748,0000042438779,0000042438809,0000042438908,0000042438922,0000042449522,2823805000000,3017561500013,3017566800774,3017566800996,3052503830360,3054080063841,3054080063858,3054088682655,3054089112847,3058320002034,3058320002041,3058320048117,3058325035839,3058325035884,3058326072345,3058326098307,3058326102295,3058326103438,3058326103711,3058326103773,3058326105043,3068320012490,3068328018005,3153714343400,3153714343516,3153714343530,3153714343554,3153716003517,3153716016432,3153716023959,3178040202719,3178040433809,3178040554894,3178040554931,3178040671010,3178040686755,3178040695153,3178041315067,3178041321778,3178041321785,3178041321792,3178041337731,3178041339889,3178041340267,3178041340304,3178041343121,3178041348546,3178041348577,3178041350792,3178041350815,3178041359474,3178041359498,3178041359511,3178044041239,3178044048528,3178044048535,3215660154162,3215660160927,3215663080017,3250390138082,3250390242758,3250390340669,3250390340683,3250390686217,3250390713852,3250391436101,3250391548613,3250391548644,3250391551071,3250391571642,3250391571673,3250391595990,3250391599646,3250391727353,3250391825059,3250391969432,3250392130497,3250392149499,3250392155834,3250392155865,3250392158088,3250392159221,3250392177768,3250392393427,3250392472900,3250392472924,3250392472948,3250392549725,3250392549749,3250392549763,3250392620929,3250393005039,3250393005114,3250393380501,3250393396120,3250393437311,3250393439551,3250393439568,3251241018485,3251241025599,3251241025605,3251241034713,3251241034768,3251241039787,3286010030832,3286010030849,3286010030856,3286010074317,3286010074355,3286010074430,3286010074454,3286010074478,3286010074485,3286010074492,3286010074508,3286010094469,3331300004762,3331300011685,3331300011951,3331300015867,3401360046689,3401360046696,3410280141664,3414090801329,3415900022965,3415900022972,3415900030458,3415900031486,3415900031752,3415900031769,3415900031783,3415900031844,3415900049375,3415900084406,3415900957090,3450270016510,3450270016534,3450270016596,3450270016701,3450270016725,3450270016749,3468080410015,3468080410930,3468080411715,3468080412460,3468080412545,3468081500715,3468081500722,3468081500975,3478820076890,3506770012009,3506770012016,3506770012030,3506770013006,3506770013013,3506770013020,3506770013037,3506772003166,3506772003203,3506772012045,3506772012052,3517360003215,3517360003222,3517360004854,3517360008654,3517360008661,3517360009583,3517360010589,3517360011012,3517360013467,3517360013757,3517360013771,3517360016970,3517360017519,3517360017830,3517360018110,3517360018127,3517360018134,3517360018141,3517360018639,3517360018653,3517360020809,3517360021141,3517360023022,3517360023114,3517360023121,3517360024746,3517360024753,3517360024760,3517360024777,3517360024883,3517360025811,3517360026023,3517360026030,3517360026047,3517360026337,3517360026603,3517360026610,3517360027761,3517360027778,3517360027785,3517360027808,3517360027815,3517360027839,3517360027846,3517360027853,3517360027884,3517360027891,3517360028058,3517360028089,3517360029239,3517360029260,3517360029277,3517360029543,3517360029611,3549620009071,3549620011500,3549620011524,3549620011548,3549620011579,3549620011616,3549620011708,3549620020403,3549620033113,3549620033120,3549620033137,3549620033144,3549620033151,3549620033304,3549620040098,3549620050066,3549621011660,3549621011677,3549621020419,3549621020426,3549621033167,3549621033174,3549623010104,3549623010302,3549623010401,3549623010500,3549623021001,3549623021018,3549623022008,3549623023005,3549629000215,3574661602684,3574661644226,3574661654546,3574661672373,3574661755878,3574661777412,3574661777481,3574661790039,3574661790046,3574661790053,3574661797649,3574661797670,3574661799049,3574661799063,3574661799704,3574661799742,3574661799773,3574661799780,3574661799797,3574661799803,3574661803289,3574661804118,3574661804149,3574661817958,3574661817972,3574661817996,3574661818023,3574661818054,3574661818078,3574661818085,3574661818108,3574661818115,3574661823058,3574661823515,3574661823522,3574661823980,3574661844114,3600521594179,3600521674406,3600521992272,3600522248996,3600522249597,3600522251958,3600522323617,3600522480082,3600522892472,3600523082247,3600523082254,3600523201525,3600523201563,3600523216383,3600523216420,3600523242658,3600523279364,3600523456178,3600523716432,3600523873821,3600523971961,3600524012632,3600524013363,3600524019648,3600524025496,3600524055868,3600524066536,3600524069650,3600524069827,3600524070601,3600524076948,3600524104108,3600524119324,3600524119836,3600524122638,3600524122874,3600524128951,3600524129040,3600524162504,3600524169657,3600524186265,3600524186890,3600524187002,3600524187101,3600524190804,3600524197650,3600524244446,3600524244576,3600524247805,3600524254292,3600524258214,3600524259679,3600540676627,3600541895478,3600541943506,3600542097024,3600542168632,3600542427531,3600542449601,3600542470339,3600542470421,3600542500456,3600542513265,3600542514095,3600542524223,3600542524230,3600542534246,3600542534314,3600542534321,3600542543323,3600542546089,3600542565820,3600542566209,3600542572842,3600542573047,3600542573122,3600542578172,3600542578264,3600542592796,3600542597821,3600542628471,3600542628563,3600542633635,3600542649490,3600542654081,3600542658119,3600542658324,3600542658447,3600542659109,3600542661669,3600542663007,3600542663199,3600542663281,3600550230321,3600550240276,3600550313390,3600550805321,3600550808339,3600550821215,3600550937329,3600550972146,3600550981933,3600550999174,3600550999327,3600551020419,3600551020457,3600551039398,3600551039435,3600551042107,3600551049847,3600551053042,3600551071510,3600551100715,3600551100722,3600551100746,3600551100753,3600551100760,3600551100777,3600551100784,3600551100791,3600551100845,3600551101224,3600551104522,3600551124797,3600551132105,3600551132631,3600551135762,3600551135779,3600551135786,3600551135793,3600551135809,3600551135816,3600551135823,3600551135830,3600551135847,3600551136905,3600551136950,3600551136981,3600551147222,3600551147239,3600551147246,3600551147253,3600551156699,3600551156736,3600551158334,3600551158389,3600551158433,3600551159584,3600551163413,3600551164243,3600551164458,3600551164533,3600551169545,3600551169552,3600551176970,3600551177939,3600551181080,3600551182407,3600551182513,3600551182636,3600551182711,3600551182728,3600551182735,3600551182742,3600551182919,3600551183350,3600551183947,3600551183954,3600551183961,3600551183978,3600551183985,3600551183992,3600551184005,3600551186108,3600551186115,3600551186122,3600551186139,3600551186146,3600551186153,3600551186160,3600551186801,3600551186856,3600551187334,3600551187341,3600551187655,3600551187853,3600551187860,3600551187877,3600551187884,3600551187891,3600551188188,3600551188249,3614223719563,3614223747849,3614223754977,3614223885695,3614223885701,3614223885718,3614224670559,3614225124891,3614225238949,3614225259838,3614225413902,3614225672224,3614225672866,3614225814129,3614225846113,3614226133250,3614227555846,3666986022343,3666986022749,3666986023029,3666986052432,3666986052586,3666986052647,3666986060628,3666986061953,3666986063551,3700100711093,3700100711109,3700100711703,3701719200237,3760100203851,3760100680713,3760100680928,3760100682298,3760100683226,3760100683622,3760100688238,3760100689389,3760207114203,3760207115026,3760207117945,3760207118577,3760207119161,3760207119437,3760207119512,3760207119543,3760207119895,3760207119901,3760207119918,3760207119932,3760278861266,3760278861297,3760278861303,3760278861310,3760278861341,3760278862126,3760278862270,3760278862317,3760278862324,3760278862409,3760278864540,3760278864595,3760278864625,3760278865868,3760278865899,3760278866902,3760278868814,3760420250399,3760420250443,3760420250450,3770013899034,4005808181377,4005808668649,4005808745289,4005808745708,4005808760244,4005808890576,4005808925124,4005808930449,4005808966875,4005900008053,4005900192479,4005900255884,4005900476616,4005900476647,4005900477255,4005900545503,4005900545558,4005900545589,4005900545619,4005900572998,4005900573209,4005900573285,4005900600073,4005900659767,4005900659798,4005900672490,4005900683397,4005900701213,4005900766021,4005900775962,4005900789389,4005900839947,4005900883773,4005900887146,4005900890504,4005900916747,4005900946195,4005900963468,4005900969712,4005900972217,4005900977953,4005900977991,4005900978035,4005900987396,4006000011813,4006000011868,4006000012032,4006000016498,4006000068145,4006000068183,4006000069593,4006000069630,4006000078526,4006000078991,4006000079080,4006000084497,4006000091990,4006000092034,4006000092072,4006000092119,4006000092195,4006000092232,4006000092294,4006000092331,4006000099125,4006000102719,4006000102757,4006000103679,4006000118093,4006000123257,4006000131122,4006000154282,4006000154312,4006000154343,4006000154374,4006000155913,4006000155968,4006000156002,4006000163437,4006000166704,4006000172750,4006000172798,4006000173955,4006000177281,4006000183268,4006000198927,4006000214108,4006000215891,4006000215921,4006000229010,4006000231310,4006000248516,4006000260709,4006000260792,4006000288505,4006000300764,4015000923880,4015000923989,4015000924054,5010724005859,5010724005958,5010724006115,5017634237028,5017634238483,5017634247843,5017634247874,5017634264147,5017634276058,5017634276072,5017634283551,5017634289829,5017634293277,5017634294090,5017634294984,5017634296575,5017634297480,8700216330084,8720039304925,8720039304949,8720039308046,8720039308060,8720039308084,9005800379678|
404848160004|DEMAQUILLANTS ET DISSOLVANTS||3054080063780,3054080074335,3054080074342,3133200039499,3133200039529,3133200057813,3133200057844,3133200091633,3133200677134,3133206782702,3153714361909,3178040585638,3178040643154,3178040643208,3178041317566,3178044040652,3215660080393,3215660122222,3215669799432,3250390222460,3250390448730,3250390618744,3250390638407,3250390816690,3250390816706,3250391429219,3250391433360,3250391547364,3250391548583,3250391548675,3250391561919,3250392055837,3250392149581,3250392149611,3250392496517,3250392620844,3250392739669,3250393464591,3250393464607,3286010074393,3286010074409,3286010107633,3410280141763,3468080408692,3468080411241,3517360008685,3517360010572,3517360013900,3517360023367,3549620011517,3549620011609,3549620033212,3549620040067,3549623010203,3600531648725,3600531648749,3600541358447,3600541594968,3600541744509,3600542326452,3600542444088,3600542571890,3600550028607,3600550038071,3600550100419,3600550199321,3600550269413,3600550313352,3600550999150,3600551020594,3666986057000,3700100711116,3760100183535,3760100682601,3760100685251,3760207114609,4005900485083,4005900485120,4005900516893,4005900519719,4005900572912,4005900572950,4005900573032,4005900573070,4005900573230,4005900766533,4005900777423,4005900803535,4006000074788,4006000074825,4006000172712,4006000199559,4006000273235,4015000503136,7322540711493,7322540712223,7322540767087,7322540797121,7322541340944|
404848170001|ACCESS. COIFFANTS / TOILETTES||3031440000067,3031440000234,3031440000241,3031440000258,3031440000302,3031440000319,3031440000326,3031440000364,3031440000388,3031440000425,3031440000432,3031440000449,3031440000463,3031440000470,3031440000500,3031440000517,3031440000623,3031440000630,3031440000654,3031440000678,3031440000715,3031440000739,3031440000746,3031440000753,3031440000814,3031440000944,3031440010288,3031440010295,3031440010394,3031440010486,3031440010493,3031440010523,3031440010547,3031440010554,3031440010608,3031440010615,3031440010646,3031440010660,3031440010684,3031440010691,3031440010707,3031440010769,3031440010776,3031440011056,3031440011100,3031440011124,3031440011278,3031440011292,3031440011308,3031440011346,3031440011360,3031440011377,3031440040155,3031440040179,3031440040209,3031440040292,3031440040384,3031440040407,3031440040421,3031440040438,3031440040445,3031440040452,3031440040469,3031440040476,3031440040483,3031440040506,3031440040568,3031440040704,3031440042708,3031440042715,3031440042807,3031440042814,3031440042821,3031440042838,3031440043002,3031440043019,3031440043330,3031440043347,3031440060153,3031440060214,3031440060269,3031440063079,3031440063086,3031440063123,3031440063154,3031440063161,3031440063178,3031440063192,3031440063208,3031440063215,3031440063246,3031440063307,3031440063338,3031440063345,3031440063352,3031440063369,3031440063376,3031440063383,3031440063390,3031440063406,3031440063413,3031440063420,3031440063437,3031441070014,3031441070021,3031441070038,3031441070045,3031441070052,3031441070113,3031441070120,3031441070137,3031441070144,3031441070151,3031441070212,3031441070229,3031441070236,3031441070243,3031441070274,3031441070281,3031441070304,3031441071004,3031441071011,3031441071028,3031441071035,3031441071066,3031441071073,3031441071103,3031441071110,3031441071127,3031441071134,3031441071141,3031441071189,3031441072001,3031441072018,3031441072025,3031441072056,3031441072063,3031441072070,3031441072100,3031441072117,3031441072124,3031441072155,3031441072162,3031441072179,3031441072186,3031441073008,3031441073015,3031441073046,3031441073053,3031441073060,3031441073077,3031441073084,3031441073121,3031441073138,3031441073169,3031441073206,3031441073213,3031441073220,3031441073237,3031441073268,3031441073275,3031441073282,3031441073336,3031441073343,3031441073350,3031441073367,3031441073374,3031441073404,3031441074005,3031441074012,3031441074029,3031441074050,3031441074067,3031441074074,3031441074111,3031441074128,3031441074135,3031441074159,3031441074166,3031441074173,3031441075002,3031441075019,3031441075040,3031441075057,3031441075088,3031441076009,3031441076016,3031441076030,3031441076061,3031441076085,3031441078041,3031441142001,3031441142018,3031441143008,3031441144005,3031441144012,3031441180010,3031441180027,3031441180034,3031441180041,3031441180058,3031441180065,3031441180171,3031441180188,3031441180195,3031441180201,3031441180218,3031441180225,3031441180232,3031441180249,3031441180256,3031441180263,3031441180270,3031441180287,3031441180294,3031441180300,3031441180317,3031441180324,3031441180331,3031441180348,3031441180355,3031441180362,3031441180379,3031441180386,3031441180430,3031441180447,3031441180454,3031441181000,3031441181017,3031441181024,3031441181208,3031441181215,3031441181222,3031441182007,3031441182014,3031441182021,3031441182038,3031441182045,3031441183004,3031441183011,3031441183028,3031441183035,3031441183042,3031441183059,3031441183066,3031441183073,3031441183080,3031441183097,3031441183103,3031441183110,3031441183127,3031441183134,3031441183141,3031441183158,3031441183202,3031441183219,3031441183226,3031441183233,3031441183240,3031441183257,3031441183264,3031441183271,3031441183288,3031441183295,3031441183301,3031441183974,3031441183981,3031441183998,3031441184001,3031441184018,3031441184049,3031441184056,3031441184063,3031441184070,3031441184087,3031441184094,3031441184308,3031441184315,3031441184506,3031441184513,3031441184537,3031441184544,3031441184551,3031441184605,3031441184612,3031441184629,3031441184636,3031441185008,3031441185015,3031441185022,3031441185039,3031441185046,3031441185053,3031441186005,3031441186012,3031441186029,3031441186036,3031441186043,3031441186050,3031441186067,3031441186074,3031441186081,3031441186098,3031441186166,3031441187002,3031441187019,3031441187026,3031441187507,3031441187514,3031441187521,3031441187538,3031441187545,3031441187552,3031441187569,3031441187576,3031441187583,3031441187590,3031441187606,3031441187613,3031441187620,3031441187637,3031441188269,3031441188276,3031441210014,3031441210021,3031441210069,3031441210076,3031441210083,3031441210120,3031441210137,3031441210144,3031441210182,3031441210199,3031441210205,3031441210243,3031441210250,3031441210267,3031441210274,3031441210311,3031441210328,3031441210359,3031441210366,3031441210373,3031441210380,3031441210397,3031441210434,3031441210458,3031441210472,3031441210489,3031441210502,3031441210519,3031441210526,3031441210533,3031441210564,3031441210595,3031441210618,3031441210625,3031441210656,3031441210663,3031441210670,3031441210687,3031441210694,3031441211004,3031441211011,3031441211066,3031441211073,3031441211080,3031441211097,3031441211103,3031441211110,3031441211127,3031441211134,3031441212001,3031441213008,3031441213015,3031441330002,3031441330019,3031441330026,3031441330033,3031441330040,3031441331009,3031441331016,3031441331023,3031441332006,3031441332013,3031441332020,3031441332037,3031441333003,3031441333010,3031441333027,3031441333034,3031441334000,3031441334017,3031441334024,3031441335007,3031441335014,3031441335021,3031441335038,3031441335045,3031441335052,3031441335069,3031449536000,3031449536017,3031449536024,3031449536048,3031449536055,3031449536062,3031449536079,3031449536086,3031449536109,3031449536116,3031449536208,3031449536215,3031449536505,3031449536512,3031449536529,3031449536536,3031449536543,3031449536550,3031449536567,3031449536574,3031449536581,3031449536635,3031449536642,3031449536703,3031449536710,3031449536727,3031449536802,3031449536819,3031449536826,3031449536864,3031449536871,3031449536888,3031449536895,3031449537700,3250391637157,3250391637607,3666085213574,3666085213581,3666085213659,3666085213666,3666085915591,3700390864929|
404848180001|MAQUILLAGE DES LEVRES||0000030145535,0000030148093,0000030148116,3600524172718,3600524172732,3600524172756,3600524172787,3600524172800,3600531411107,3600531411114,3600531469481,3600531692032,3600531692070,3600531692124,3614224673093,3614224709624,3614224811808,3614224843816,3614227209251,3614227209268,3614227765214,3666986063797|
404848180002|MAQUILLAGE DES YEUX||0000030152830,0000030166967,0000030167223,3600524229092,3600530733248,3600531531065,3600531531089,3600531531102,3600531716974,3614222595526,3614223076826,3614223083633,3614223134892,3614223885770,3614224620233,3614224811792,3614224811815,3614228686754,3614228939829,3614229308563,3616301236290,3616302360390,3616304545948,3616307102193,3616307659925,3666986054627,3666986065104,3666986065135,3666986066156|
404848180003|MAQUILLAGE DU VISAGE||3250391965441,3600523723478,3600523723522,3600523723560,3600523724611,3600530733255,3600531469498,3600531507763,3600531507770,3600531691820,3600531691868,3600531691905,3600531691936,3600531691967,3614225672873,3614225672897,3666986063827|
404848180004|MAQUILLAGE CORPS ET ONGLES||3031449040606,3031449040613,3031449040620,3031449040637,3031449040644,3031449040651,3031449040668,3031449040675,3031449040682,3031449040804,3031449040828,3031449040835,3031449040842,3031449040859,3031449040866,3031449040897,3031449040903,3031449040910,3031449040927,3031449040934,3031449040972,3031449041009,3031449041016,3031449041023,3031449041047,3031449041061,3031449041108,3031449041122,3031449041139,3031449041214,3031449041238,3031449041245,3031449041252,3031449041269,3031449041276,3031449041283,3031449041306,3031449041337,3031449041344,3031449041375,3031449041382,3031449041399,3031449041405,3031449041412,3031449041436,3031449041443,3031449041450,3031449041481,3031449041498,3031449041504,3031449041511,3031449041528,3031449041566,3031449440819,3031449440840,3031449440857,3031449440895,3031449441007,3031449441045,3031449441243,3031449441274,3031449441335,3031449441618,3031449441625,3031449441632,3031449441649,3031449441656,3031449441724,3031449441731,3031449441748,3031449441755,3031449441762,3031449441809,3031449441854,3031449441861,3031449443254,3031449443261,3031449443278,3031449443285,3031449443483,3031449443490,3031449443605,3031449443704,3031449443735,3031449443742,3031449443759,3031449443766,3031449444596,3031449444619,3031449444824,3031449445050,3031449445067,3031449445074,3031449445371,3031449445449,3031449445456,3031449446378,3031449447160,3031449447184,3031449447191,3474393051142,3532281496809,3600531702564,3600531702588,3600531702601,3600531702625,3600531702649,3600531702724,3600531702748,3600531702830,3600531702861,3600531702878,3600531704650,3600531704667,3614225672248,3614225672255,3614225814082,3614225814167,3616307240949,3666986055952,5011831103209,5011831103230|
404848200001|BROSSES A DENTS||2823808000000,3094900059104,3094900059111,3094901304302,3094901304319,3094901330004,3094901390008,3094901410003,3094905001115,3250390664185,3250390702955,3250390839316,3250390839323,3250390935513,3250391332748,3250391436699,3250391648665,3250391648696,3250391648726,3250391999781,3250392065782,3250392149468,3250392537463,3250393069802,3250393069826,3250393115370,3250393452697,3250393470769,3250393470790,3250393470806,3346029400962,3346029400979,3410280027845,3410280146461,3700376700357,3700376700371,3700376700395,3700390858713,3700390858720,3700390867463,3700390867470,5054563027726,5054563050519,5054563052681,5054563057235,5054563079084,5054563290533,7038513866304,7038516220202,7038516220301,7046110070192,8000109091840,8001090916570,8001090917577,8001090918444,8001090918505,8006540773116,8006540804087,8006540804155,8006540804216,8006540804445,8006540895238,8006540895290,8006540895351,8006540895511,8006540895672,8006540895764,8006540895832,8006540896013,8006540896136,8006540992807,8006540992821,8006540993071,8700216125673,8700216126311,8700216126342,8700216161664,8700216161688,8700216161732,8700216301954,8700216423410,8700216944168,8700216944212,8700216944328,8700216945141,8700216964760,8700216965187,8710103985488,8710522672969,8710522673034,8710522673065,8710522675311,8710522712108,8710522712115,8710522740439,8711600432949,8711600434158,8718951295759,8718951404977,8718951570276,8718951602526,8718951602564,8718951604087,8718951639485,8718951643536,8718951650541,8718951650589,8718951650626,8718951650664,8718951702769,8718951702790,8718951705722,8718951707399,8718951708174,8718951715073,8718951715813,8718951789562,8720181031076,8720181048869,8720181229909,8720181229916,8720181236310,8720181236341,8720181237713,8720181237737,8720181239304,8720181275784,8720181418891,8720181418907,8720181426957,8720181426964,8720181427008,8720181502811,8720181502880,8720181502897,8720181628146,8720181628160,8720181879661,8720181879678,8720689043502,8720689043519,8720689043670,8720689048149,8720689049924,8720689050852,8720689056441,8720689056458|
